From,To,Reason,Transfer Date,Status At Transfer
Rimutaka,SHCF,In Transit/Multi-Site Move,31-Oct-18,Remand - Convicted
Rimutaka,SHCF,In Transit/Multi-Site Move,31-Oct-18,Remand - Accused
MECF,ASCF,Population Management,31-Oct-18,Sentenced
MECF,ASCF,Population Management,31-Oct-18,Sentenced
Christchurch,Rolleston,Accepted for Programme,31-Oct-18,Remand - Convicted
MECF,ASCF,Population Management,31-Oct-18,Sentenced
Invercargill,OCF,Population Management,31-Oct-18,Sentenced (Low Medium)
Whanganui,Hawkes Bay,Placement Management,31-Oct-18,Remand - Accused
Whanganui,Hawkes Bay,Population Management,31-Oct-18,Sentenced (High)
Manawatu,Hawkes Bay,Judicial,31-Oct-18,Remand - Convicted
MECF,ASCF,Population Management,31-Oct-18,Sentenced
Hawkes Bay,SHCF,In Transit/Multi-Site Move,31-Oct-18,Remand - Accused
Manawatu,Whanganui,Judicial,31-Oct-18,Remand - Convicted
Rimutaka,SHCF,Judicial,31-Oct-18,Remand - Accused
Invercargill,OCF,Placement Management,31-Oct-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
Whanganui,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Convicted
SHCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Population Management,1-Nov-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Convicted
NRCF,MECF,Population Management,1-Nov-18,Remand - Accused
SHCF,MECF,Judicial,1-Nov-18,Remand - Convicted
SHCF,MECF,Judicial,1-Nov-18,Sentenced (Low Medium)
Manawatu,Hawkes Bay,Placement Management,1-Nov-18,Remand - Accused
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
NRCF,MECF,Population Management,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
SHCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
NRCF,MECF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
NRCF,MECF,Release,1-Nov-18,Sentenced (Low Medium)
SHCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
SHCF,MECF,Release,1-Nov-18,Sentenced (Minimum)
NRCF,MECF,Judicial,1-Nov-18,Sentenced (Low Medium)
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
Waikeria,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
MECF,SHCF,Judicial,1-Nov-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Sentenced (High)
NRCF,MECF,Judicial,1-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
NRCF,MECF,Accepted for Programme,1-Nov-18,Remand - Convicted
NRCF,MECF,In Transit/Multi-Site Move,1-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
NRCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
MECF,Waikeria,Judicial,1-Nov-18,Remand - Accused
NRCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
SHCF,MECF,Judicial,1-Nov-18,Sentenced (Low)
SHCF,MECF,Judicial,1-Nov-18,Remand - Convicted
SHCF,MECF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Population Management,1-Nov-18,Sentenced
MECF,NRCF,Population Management,1-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,1-Nov-18,Remand - Accused
MECF,NRCF,Personal Request,1-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Remand - Accused
NRCF,MECF,Judicial,1-Nov-18,Sentenced (Low Medium)
Auckland,ASCF,Personal Request,1-Nov-18,Sentenced (High)
ASCF,SHCF,In Transit/Multi-Site Move,1-Nov-18,Sentenced (High)
SHCF,MECF,Judicial,1-Nov-18,Remand - Accused
NRCF,MECF,Population Management,1-Nov-18,Remand - Accused
Auckland,Waikeria,Accepted for Programme,1-Nov-18,Sentenced (Minimum)
SHCF,Waikeria,Accepted for Programme,2-Nov-18,Sentenced (Low)
SHCF,Waikeria,Accepted for Programme,2-Nov-18,Sentenced
Rolleston,Christchurch,Accepted for Programme,2-Nov-18,Sentenced (Low)
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Convicted
MECF,NRCF,Population Management,2-Nov-18,Sentenced
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Convicted
Waikeria,SHCF,Placement Management,2-Nov-18,Sentenced (Low)
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
NRCF,MECF,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Sentenced (Low)
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
NRCF,MECF,Population Management,2-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Personal Request,2-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
NRCF,MECF,Population Management,2-Nov-18,Remand - Accused
NRCF,MECF,Population Management,2-Nov-18,Remand - Accused
SHCF,Waikeria,Accepted for Programme,2-Nov-18,Sentenced (Low Medium)
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Accused
NRCF,MECF,Population Management,2-Nov-18,Remand - Accused
MECF,NRCF,Population Management,2-Nov-18,Sentenced (Low Medium)
MECF,NRCF,Population Management,2-Nov-18,Sentenced
SHCF,Waikeria,Judicial,2-Nov-18,Sentenced (High)
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
NRCF,MECF,In Transit/Multi-Site Move,2-Nov-18,Remand - Accused
SHCF,Waikeria,Judicial,2-Nov-18,Remand - Accused
SHCF,Waikeria,Judicial,2-Nov-18,Remand - Convicted
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
NRCF,MECF,In Transit/Multi-Site Move,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,2-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Population Management,2-Nov-18,Remand - Accused
SHCF,Waikeria,Accepted for Programme,2-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
MECF,NRCF,Judicial,2-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
NRCF,MECF,Judicial,5-Nov-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
MECF,NRCF,Judicial,5-Nov-18,Remand - Accused
NRCF,MECF,Judicial,5-Nov-18,Sentenced (Low Medium)
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
NRCF,Auckland,Accepted for Programme,5-Nov-18,Sentenced (Low Medium)
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Sentenced
MECF,NRCF,Judicial,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,NRCF,Judicial,5-Nov-18,Sentenced (High)
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
MECF,NRCF,Judicial,5-Nov-18,Remand - Accused
ASCF,MECF,Judicial,5-Nov-18,Sentenced (High)
MECF,ASCF,Personal Request,5-Nov-18,Sentenced
MECF,ASCF,Population Management,5-Nov-18,Remand - Accused
NRCF,MECF,Judicial,5-Nov-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Convicted
ASCF,Auckland,Placement Management,5-Nov-18,Sentenced (High)
MECF,ASCF,Population Management,5-Nov-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,NRCF,Judicial,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
NRCF,MECF,Judicial,5-Nov-18,Sentenced (Low Medium)
MECF,NRCF,Population Management,5-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
Invercargill,Whanganui,Judicial,5-Nov-18,Remand - Accused
MECF,ASCF,Population Management,5-Nov-18,Sentenced
SHCF,Hawkes Bay,Population Management,6-Nov-18,Remand - Convicted
SHCF,Hawkes Bay,Accepted for Programme,6-Nov-18,Remand - Accused
Whanganui,Rimutaka,Population Management,6-Nov-18,Sentenced (Low)
ASCF,Auckland,Placement Management,6-Nov-18,Sentenced (Maximum)
SHCF,Rimutaka,Population Management,6-Nov-18,Remand - Convicted
Manawatu,Rimutaka,Accepted for Programme,6-Nov-18,Remand - Convicted
SHCF,Hawkes Bay,Population Management,6-Nov-18,Remand - Accused
SHCF,Waikeria,Judicial,6-Nov-18,Remand - Accused
Whanganui,Rimutaka,Population Management,6-Nov-18,Sentenced (Low)
Manawatu,Rimutaka,Judicial,6-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Population Management,6-Nov-18,Remand - Accused
Whanganui,Rimutaka,Population Management,6-Nov-18,Sentenced (Low)
SHCF,Rimutaka,Population Management,6-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,6-Nov-18,Remand - Accused
Whanganui,Rimutaka,Population Management,6-Nov-18,Sentenced (Low Medium)
MECF,Rimutaka,Population Management,6-Nov-18,Remand - Convicted
SHCF,Hawkes Bay,Population Management,6-Nov-18,Remand - Accused
Rimutaka,OCF,Judicial,6-Nov-18,Remand - Convicted
Whanganui,Rimutaka,Judicial,6-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,6-Nov-18,Remand - Convicted
Waikeria,SHCF,Judicial,6-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Population Management,6-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,6-Nov-18,Remand - Accused
SHCF,Hawkes Bay,Accepted for Programme,6-Nov-18,Sentenced (Low Medium)
Hawkes Bay,Manawatu,Judicial,6-Nov-18,Remand - Convicted
Waikeria,Christchurch,Release,6-Nov-18,Sentenced
Waikeria,Manawatu,Judicial,7-Nov-18,Remand - Accused
Manawatu,Rimutaka,Placement Management,7-Nov-18,Sentenced (High)
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Remand - Convicted
Tongariro,SHCF,In Transit/Multi-Site Move,7-Nov-18,Sentenced (Low)
Rimutaka,SHCF,In Transit/Multi-Site Move,7-Nov-18,Remand - Convicted
Hawkes Bay,Waikeria,Release,7-Nov-18,Sentenced (High)
Hawkes Bay,Tongariro,Accepted for Programme,7-Nov-18,Sentenced (Minimum)
Hawkes Bay,Tongariro,Accepted for Programme,7-Nov-18,Sentenced (Low Medium)
Whanganui,SHCF,In Transit/Multi-Site Move,7-Nov-18,Remand - Accused
Rimutaka,Waikeria,Judicial,7-Nov-18,Sentenced (High)
Hawkes Bay,Tongariro,Accepted for Programme,7-Nov-18,Sentenced (Minimum)
Tongariro,Hawkes Bay,Placement Management,7-Nov-18,Sentenced (Low Medium)
Whanganui,Hawkes Bay,Population Management,7-Nov-18,Sentenced (Low)
Tongariro,SHCF,Placement Management,7-Nov-18,Sentenced (Low Medium)
MECF,ASCF,Population Management,7-Nov-18,Sentenced (High)
Rimutaka,Waikeria,Judicial,7-Nov-18,Remand - Convicted
OCF,Invercargill,Judicial,7-Nov-18,Remand - Accused
Waikeria,Whanganui,Placement Management,7-Nov-18,Sentenced (Low Medium)
OCF,Invercargill,Personal Request,7-Nov-18,Remand - Convicted
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Sentenced
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (Low)
Whanganui,Hawkes Bay,Population Management,7-Nov-18,Sentenced (Low Medium)
Manawatu,SHCF,In Transit/Multi-Site Move,7-Nov-18,Remand - Accused
Rimutaka,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (Low)
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Remand - Accused
OCF,Invercargill,Population Management,7-Nov-18,Sentenced (High)
Rimutaka,Whanganui,Accepted for Programme,7-Nov-18,Remand - Convicted
Rimutaka,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (Low)
NRCF,MECF,Judicial,7-Nov-18,
Rimutaka,SHCF,In Transit/Multi-Site Move,7-Nov-18,Sentenced (Low Medium)
Rimutaka,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (High)
Tongariro,Hawkes Bay,Placement Management,7-Nov-18,Sentenced (Low Medium)
Whanganui,Hawkes Bay,Release,7-Nov-18,Remand - Convicted
OCF,Invercargill,Population Management,7-Nov-18,Sentenced (Low)
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Sentenced
Whanganui,Manawatu,Judicial,7-Nov-18,Remand - Convicted
Rimutaka,SHCF,In Transit/Multi-Site Move,7-Nov-18,Remand - Accused
Rimutaka,SHCF,In Transit/Multi-Site Move,7-Nov-18,Sentenced (High)
Whanganui,Waikeria,Accepted for Programme,7-Nov-18,Sentenced (Low Medium)
Waikeria,SHCF,In Transit/Multi-Site Move,7-Nov-18,Sentenced (High)
Rimutaka,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (High)
Hawkes Bay,SHCF,Accepted for Programme,7-Nov-18,Sentenced (Low Medium)
Hawkes Bay,SHCF,Accepted for Programme,7-Nov-18,Sentenced (Minimum)
Hawkes Bay,Tongariro,Accepted for Programme,7-Nov-18,Sentenced (Low)
Whanganui,Hawkes Bay,Judicial,7-Nov-18,Sentenced (Low)
Whanganui,Waikeria,Personal Request,7-Nov-18,Sentenced (High)
Rimutaka,Manawatu,Judicial,7-Nov-18,Remand - Accused
Invercargill,OCF,In Transit/Multi-Site Move,7-Nov-18,Sentenced (Low Medium)
Waikeria,Whanganui,Accepted for Programme,7-Nov-18,Sentenced (Low Medium)
ASCF,SHCF,In Transit/Multi-Site Move,8-Nov-18,Sentenced (Low Medium)
Christchurch,Rolleston,Accepted for Programme,8-Nov-18,Sentenced
MECF,NRCF,Population Management,8-Nov-18,Sentenced
SHCF,Auckland,Accepted for Programme,8-Nov-18,Sentenced (Minimum)
MECF,NRCF,Judicial,8-Nov-18,Sentenced (Low)
SHCF,MECF,Judicial,8-Nov-18,Remand - Convicted
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
OCF,Rolleston,Accepted for Programme,8-Nov-18,Sentenced (Low Medium)
NRCF,MECF,Population Management,8-Nov-18,Remand - Accused
OCF,Christchurch,Judicial,8-Nov-18,Sentenced (Low Medium)
OCF,Christchurch,Placement Management,8-Nov-18,Remand - Accused
SHCF,MECF,Judicial,8-Nov-18,Remand - Convicted
SHCF,MECF,Judicial,8-Nov-18,Remand - Accused
OCF,Rolleston,Release,8-Nov-18,Sentenced (Minimum)
Auckland,SHCF,Judicial,8-Nov-18,Remand - Accused
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
MECF,Auckland,Personal Request,8-Nov-18,Recall Outstanding
MECF,NRCF,Judicial,8-Nov-18,Remand - Convicted
OCF,Christchurch,Placement Management,8-Nov-18,Remand - Accused
Arohata,ARWCF,Personal Request,8-Nov-18,Sentenced (Low)
MECF,ASCF,Population Management,8-Nov-18,Sentenced (Low)
SHCF,MECF,Judicial,8-Nov-18,Remand - Accused
Manawatu,MECF,Judicial,8-Nov-18,Remand - Accused
MECF,ASCF,Population Management,8-Nov-18,Sentenced
NRCF,MECF,Population Management,8-Nov-18,Remand - Accused
MECF,NRCF,Population Management,8-Nov-18,Sentenced
NRCF,MECF,Judicial,8-Nov-18,Remand - Accused
SHCF,MECF,Judicial,8-Nov-18,Sentenced (Low Medium)
NRCF,Auckland,Accepted for Programme,8-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
NRCF,MECF,Population Management,8-Nov-18,Remand - Accused
MECF,NRCF,Judicial,8-Nov-18,Sentenced (Low)
NRCF,Auckland,Accepted for Programme,8-Nov-18,Sentenced (Low Medium)
MECF,ASCF,Population Management,8-Nov-18,Sentenced (Low)
Christchurch,Rolleston,Population Management,8-Nov-18,Sentenced
NRCF,Auckland,Placement Management,8-Nov-18,Sentenced (Low Medium)
NRCF,MECF,Placement Management,8-Nov-18,Sentenced (Low Medium)
Arohata,ARWCF,Judicial,8-Nov-18,Sentenced (Minimum)
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
ARWCF,Arohata,Judicial,8-Nov-18,Remand - Accused
MECF,NRCF,Judicial,8-Nov-18,Remand - Accused
SHCF,ASCF,Medical,8-Nov-18,Sentenced (Low Medium)
SHCF,MECF,Judicial,8-Nov-18,Remand - Accused
MECF,ASCF,Population Management,8-Nov-18,Remand - Accused
SHCF,Auckland,Placement Management,8-Nov-18,Sentenced (Maximum)
NRCF,MECF,Judicial,8-Nov-18,
Arohata,ARWCF,Placement Management,8-Nov-18,Sentenced (Low Medium)
Arohata,ARWCF,Release,8-Nov-18,Sentenced (Low)
SHCF,MECF,Judicial,8-Nov-18,Sentenced (High)
SHCF,Waikeria,Judicial,8-Nov-18,Remand - Accused
OCF,Rolleston,Accepted for Programme,8-Nov-18,Sentenced (Minimum)
ASCF,SHCF,In Transit/Multi-Site Move,8-Nov-18,Sentenced (Low Medium)
OCF,Christchurch,Population Management,8-Nov-18,Sentenced (High)
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Convicted
SHCF,Waikeria,Accepted for Programme,9-Nov-18,Sentenced (Low Medium)
Rimutaka,OCF,Population Management,9-Nov-18,Remand - Convicted
SHCF,Waikeria,Accepted for Programme,9-Nov-18,Sentenced (Low Medium)
MECF,NRCF,Population Management,9-Nov-18,Sentenced
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
OCF,Auckland,Placement Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
MECF,NRCF,Judicial,9-Nov-18,Remand - Accused
MECF,NRCF,Judicial,9-Nov-18,Remand - Accused
NRCF,MECF,In Transit/Multi-Site Move,9-Nov-18,Sentenced (Low Medium)
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
NRCF,MECF,Population Management,9-Nov-18,Remand - Accused
OCF,Auckland,Placement Management,9-Nov-18,Sentenced (Maximum)
OCF,Auckland,Placement Management,9-Nov-18,Sentenced (Low Medium)
MECF,NRCF,Population Management,9-Nov-18,Sentenced
MECF,NRCF,Judicial,9-Nov-18,Remand - Accused
MECF,NRCF,Population Management,9-Nov-18,Sentenced
MECF,NRCF,Population Management,9-Nov-18,Sentenced
NRCF,MECF,Population Management,9-Nov-18,Remand - Accused
OCF,Auckland,Placement Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
NRCF,MECF,Population Management,9-Nov-18,Remand - Accused
Waikeria,SHCF,In Transit/Multi-Site Move,9-Nov-18,Remand - Accused
SHCF,Waikeria,Judicial,9-Nov-18,Remand - Accused
OCF,MECF,Judicial,9-Nov-18,Remand - Accused
MECF,NRCF,Judicial,9-Nov-18,Remand - Convicted
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
NRCF,MECF,Placement Management,9-Nov-18,Sentenced (High)
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
OCF,Auckland,Placement Management,9-Nov-18,Sentenced (High)
MECF,Rimutaka,Population Management,9-Nov-18,Remand - Accused
Rimutaka,OCF,Population Management,9-Nov-18,Sentenced (High)
Rimutaka,OCF,Population Management,9-Nov-18,Remand - Accused
MECF,NRCF,Judicial,12-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,12-Nov-18,Remand - Accused
MECF,NRCF,Judicial,12-Nov-18,Remand - Convicted
MECF,SHCF,Judicial,12-Nov-18,Remand - Accused
MECF,Whanganui,Judicial,12-Nov-18,Remand - Accused
Auckland,SHCF,In Transit/Multi-Site Move,12-Nov-18,Sentenced (Maximum)
NRCF,MECF,Population Management,12-Nov-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,12-Nov-18,Remand - Convicted
MECF,Auckland,Population Management,12-Nov-18,Remand - Convicted
MECF,ASCF,Population Management,12-Nov-18,Sentenced (High)
ASCF,SHCF,In Transit/Multi-Site Move,12-Nov-18,Sentenced (High)
Auckland,ASCF,Personal Request,12-Nov-18,Sentenced (High)
MECF,SHCF,Judicial,12-Nov-18,Remand - Accused
MECF,NRCF,Judicial,12-Nov-18,Remand - Accused
MECF,SHCF,Personal Request,12-Nov-18,Recall Outstanding
Arohata,ARWCF,Judicial,12-Nov-18,Sentenced (Low)
MECF,NRCF,Medical,12-Nov-18,Remand - Accused
Waikeria,Hawkes Bay,Judicial,12-Nov-18,Remand - Convicted
MECF,SHCF,In Transit/Multi-Site Move,12-Nov-18,Remand - Convicted
NRCF,SHCF,Accepted for Programme,12-Nov-18,Sentenced (Low)
MECF,NRCF,Judicial,12-Nov-18,Remand - Accused
MECF,Auckland,Population Management,12-Nov-18,Remand - Convicted
MECF,NRCF,Judicial,12-Nov-18,Remand - Accused
MECF,Auckland,Population Management,12-Nov-18,Remand - Accused
Auckland,SHCF,In Transit/Multi-Site Move,12-Nov-18,Sentenced (Maximum)
NRCF,MECF,In Transit/Multi-Site Move,12-Nov-18,Sentenced
ASCF,SHCF,In Transit/Multi-Site Move,12-Nov-18,Sentenced (High)
NRCF,MECF,Population Management,12-Nov-18,Remand - Accused
NRCF,MECF,In Transit/Multi-Site Move,12-Nov-18,Remand - Accused
SHCF,MECF,Judicial,12-Nov-18,Remand - Accused
MECF,NRCF,Judicial,12-Nov-18,Remand - Accused
MECF,Auckland,Population Management,12-Nov-18,Sentenced
ASCF,Auckland,Placement Management,12-Nov-18,Sentenced (High)
MECF,Auckland,Population Management,12-Nov-18,Sentenced (High)
NRCF,MECF,Release,12-Nov-18,Sentenced (Low)
OCF,Christchurch,Release,13-Nov-18,Sentenced (Minimum)
Christchurch,OCF,In Transit/Multi-Site Move,13-Nov-18,Sentenced (Low)
Christchurch,Rolleston,Population Management,13-Nov-18,Remand - Accused
SHCF,Rimutaka,Population Management,13-Nov-18,Remand - Accused
OCF,Christchurch,In Transit/Multi-Site Move,13-Nov-18,Sentenced (High)
Hawkes Bay,Tongariro,Population Management,13-Nov-18,Sentenced
SHCF,Manawatu,Accepted for Programme,13-Nov-18,Sentenced (High)
Hawkes Bay,Tongariro,Personal Request,13-Nov-18,Sentenced (Minimum)
SHCF,Rimutaka,Population Management,13-Nov-18,Remand - Convicted
OCF,Christchurch,Release,13-Nov-18,Sentenced (Low Medium)
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low)
Whanganui,Rimutaka,In Transit/Multi-Site Move,13-Nov-18,Remand - Accused
OCF,Christchurch,In Transit/Multi-Site Move,13-Nov-18,Sentenced (Low Medium)
SHCF,Tongariro,Accepted for Programme,13-Nov-18,Sentenced
SHCF,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Minimum)
Waikeria,Rimutaka,Population Management,13-Nov-18,Sentenced
Hawkes Bay,Tongariro,Population Management,13-Nov-18,Recall Outstanding
Waikeria,Rimutaka,Population Management,13-Nov-18,Sentenced
Hawkes Bay,Manawatu,Judicial,13-Nov-18,Remand - Accused
SHCF,Tongariro,Accepted for Programme,13-Nov-18,Sentenced
Whanganui,Rimutaka,Medical,13-Nov-18,Sentenced (High)
SHCF,Waikeria,Population Management,13-Nov-18,Sentenced (Minimum)
SHCF,Rimutaka,In Transit/Multi-Site Move,13-Nov-18,Sentenced (High)
SHCF,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low)
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low)
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low Medium)
Waikeria,Rimutaka,Personal Request,13-Nov-18,Remand - Accused
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low)
OCF,Christchurch,In Transit/Multi-Site Move,13-Nov-18,Sentenced (High)
Christchurch,OCF,Release,13-Nov-18,Sentenced
Christchurch,OCF,Judicial,13-Nov-18,Remand - Convicted
Christchurch,OCF,Population Management,13-Nov-18,Sentenced
Rolleston,Christchurch,Accepted for Programme,13-Nov-18,Sentenced (Low)
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Low)
OCF,Christchurch,In Transit/Multi-Site Move,13-Nov-18,Sentenced (High)
Waikeria,Rimutaka,Population Management,13-Nov-18,Sentenced
Waikeria,Rimutaka,Population Management,13-Nov-18,Remand - Accused
Tongariro,Hawkes Bay,Accepted for Programme,13-Nov-18,Sentenced (Minimum)
Hawkes Bay,Whanganui,Personal Request,13-Nov-18,Remand - Convicted
Waikeria,Tongariro,Accepted for Programme,13-Nov-18,Sentenced
Hawkes Bay,Rimutaka,In Transit/Multi-Site Move,13-Nov-18,Sentenced (Low Medium)
Hawkes Bay,Tongariro,Accepted for Programme,13-Nov-18,Sentenced (Low)
SHCF,Tongariro,Accepted for Programme,13-Nov-18,Sentenced
Waikeria,Rimutaka,Population Management,13-Nov-18,Sentenced
Waikeria,Rimutaka,Population Management,13-Nov-18,Remand - Accused
